[2026-06-30 09:19:34] ==================== 强势股监控线程启动 ====================

[2026-06-30 09:31:30] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -3.2% | 快速回撤  6.9% | 关键词：存储芯片

[2026-06-30 09:31:52] ⚠️ 【COND1-开盘急跌】601133.SH    柏诚股份 | 涨幅  2.0% | 快速回撤  6.0% | 关键词：半导体洁净室

[2026-06-30 09:32:08] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -2.5% | 快速回撤  6.2% | 关键词：存储芯片

[2026-06-30 09:32:35] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -2.3% | 快速回撤  6.1% | 关键词：存储芯片

[2026-06-30 09:32:41] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -2.3% | 快速回撤  6.1% | 关键词：存储芯片

[2026-06-30 09:33:10] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -2.2% | 快速回撤  6.0% | 关键词：存储芯片

[2026-06-30 09:33:27] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -2.4% | 快速回撤  6.2% | 关键词：存储芯片

[2026-06-30 09:33:31] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -2.4% | 快速回撤  6.2% | 关键词：存储芯片

[2026-06-30 09:35:13] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.4% | 快速回撤  6.4% | 关键词：未知

[2026-06-30 09:35:19] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.4% | 快速回撤  6.4% | 关键词：未知

[2026-06-30 09:35:27] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.7% | 快速回撤  6.6% | 关键词：未知

[2026-06-30 09:36:04] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.4% | 快速回撤  6.4% | 关键词：未知

[2026-06-30 09:36:16] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.4% | 快速回撤  6.4% | 关键词：未知

[2026-06-30 09:36:22] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.4% | 快速回撤  6.4% | 关键词：未知

[2026-06-30 09:36:27] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.4% | 快速回撤  6.4% | 关键词：未知

[2026-06-30 09:40:23] ⚠️ 【COND1-开盘急跌】688376.SH    美埃科技 | 涨幅 -6.2% | 快速回撤  6.0% | 关键词：未知

[2026-06-30 09:40:29] ⚠️ 【COND1-开盘急跌】688596.SH    正帆科技 | 涨幅  9.2% | 快速回撤  6.3% | 关键词：半导体设备

[2026-06-30 09:40:38] ⚠️ 【COND1-开盘急跌】603163.SH    圣晖集成 | 涨幅 -1.3% | 快速回撤  6.2% | 关键词：半导体设备

[2026-06-30 09:41:09] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.9% | 最大回撤  6.3% | 关键词：钽电容

[2026-06-30 09:41:11] ⚠️ 【COND1-冲高跳水】300567.SZ    精测电子 | 涨幅  0.3% | 最大回撤  6.3% | 关键词：未知

[2026-06-30 09:41:23] ⚠️ 【COND1-冲高跳水】300567.SZ    精测电子 | 涨幅  0.5% | 最大回撤  6.1% | 关键词：未知

[2026-06-30 09:41:36] ⚠️ 【COND1-冲高跳水】300567.SZ    精测电子 | 涨幅  0.6% | 最大回撤  6.1% | 关键词：未知

[2026-06-30 09:41:40] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -4.1% | 最大回撤  6.5% | 关键词：钽电容

[2026-06-30 09:41:42] ⚠️ 【COND1-冲高跳水】300567.SZ    精测电子 | 涨幅  0.6% | 最大回撤  6.1% | 关键词：未知

[2026-06-30 09:42:52] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.1% | 关键词：钽电容

[2026-06-30 09:43:45] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.8% | 最大回撤  6.2% | 关键词：钽电容

[2026-06-30 09:46:26] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽电容涨价

[2026-06-30 09:49:49] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽电容涨价

[2026-06-30 09:54:03] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽电容

[2026-06-30 10:34:29] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.0% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 10:34:41] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:35:16] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.9% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 10:36:22] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:37:03] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:39:42] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:39:55] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:40:06] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:40:19] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:43:25] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:43:40] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.9% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 10:44:12] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.9% | 最大回撤  6.2% | 关键词：半导体设备零部件

[2026-06-30 10:44:42] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:46:44] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:47:04] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.9% | 最大回撤  6.2% | 关键词：半导体设备零部件

[2026-06-30 10:47:36] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:49:31] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:50:29] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 10:54:42] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:54:53] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:56:22] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:56:33] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:57:06] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 10:57:13] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.1% | 关键词：半导体设备零部件

[2026-06-30 10:57:24] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:57:31] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:57:50] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 10:57:56] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

